gene	n_tfs
ENSG00000231840	67
ENSG00000232533	15
ENSG00000196511	40
ENSG00000240877	3
ENSG00000170265	25
ENSG00000181444	93
ENSG00000204934	68
ENSG00000188707	89
ENSG00000284691	23
ENSG00000243433	35
ENSG00000164900	24
ENSG00000261455	58
ENSG00000133627	17
ENSG00000130226	57
ENSG00000157219	60
ENSG00000273117	23
ENSG00000146909	73
ENSG00000009335	51
ENSG00000117868	11
ENSG00000126870	13
ENSG00000282021	91
ENSG00000254319	73
ENSG00000183117	47
ENSG00000283386	11
ENSG00000253958	72
ENSG00000173281	79
ENSG00000173273	102
ENSG00000255020	25
ENSG00000248423	68
ENSG00000104763	84
ENSG00000253775	95
ENSG00000147416	13
ENSG00000253147	2
ENSG00000177725	5
ENSG00000158941	10
ENSG00000253142	5
ENSG00000147457	19
ENSG00000184661	31
ENSG00000221914	93
ENSG00000104765	7
ENSG00000120885	3
ENSG00000272256	87
ENSG00000165392	71
ENSG00000129696	38
ENSG00000253344	45
ENSG00000147475	20
ENSG00000104221	110
ENSG00000169154	11
ENSG00000147465	13
ENSG00000175324	14
ENSG00000147526	34
ENSG00000253586	20
ENSG00000253133	98
ENSG00000029534	45
ENSG00000260588	112
ENSG00000168575	81
ENSG00000284062	5
ENSG00000047249	27
ENSG00000251835	41
ENSG00000206579	5
ENSG00000008988	115
ENSG00000253603	49
ENSG00000251396	4
ENSG00000254777	21
ENSG00000198363	8
ENSG00000207816	11
ENSG00000066855	28
ENSG00000272192	95
ENSG00000253190	86
ENSG00000147571	53
ENSG00000185697	77
ENSG00000121022	22
ENSG00000104218	6
ENSG00000147592	85
ENSG00000221947	41
ENSG00000285579	3
ENSG00000147604	35
ENSG00000250295	62
ENSG00000253235	105
ENSG00000258677	8
ENSG00000104343	28
ENSG00000175606	85
ENSG00000147586	66
ENSG00000133739	9
ENSG00000133742	27
ENSG00000176623	77
ENSG00000104325	73
ENSG00000104327	58
ENSG00000246792	75
ENSG00000253250	58
ENSG00000253738	49
ENSG00000155100	81
ENSG00000164944	65
ENSG00000253704	58
ENSG00000156162	30
ENSG00000156172	65
ENSG00000104375	77
ENSG00000132549	79
ENSG00000147669	78
ENSG00000164924	44
ENSG00000283959	74
ENSG00000253669	14
ENSG00000244052	60
ENSG00000164934	86
ENSG00000285982	55
ENSG00000147650	38
ENSG00000251003	80
ENSG00000104412	106
ENSG00000064313	67
ENSG00000172167	25
ENSG00000253819	75
ENSG00000204949	36
ENSG00000253286	86
ENSG00000253227	69
ENSG00000183665	90
ENSG00000245149	45
ENSG00000170881	105
ENSG00000249816	67
ENSG00000180938	61
ENSG00000164961	36
ENSG00000156831	6
ENSG00000242170	85
ENSG00000173334	11
ENSG00000221261	70
ENSG00000153310	14
ENSG00000264653	106
ENSG00000280035	123
ENSG00000253595	91
ENSG00000160882	98
ENSG00000253716	63
ENSG00000279605	15
ENSG00000183309	116
ENSG00000261150	51
ENSG00000185122	107
ENSG00000170619	53
ENSG00000255559	50
ENSG00000255530	92
ENSG00000080608	14
ENSG00000080298	81
ENSG00000232104	69
ENSG00000273061	63
ENSG00000096968	90
ENSG00000137040	82
ENSG00000164985	60
ENSG00000107201	121
ENSG00000122692	42
ENSG00000086102	90
ENSG00000235481	63
ENSG00000198876	36
ENSG00000205143	5
ENSG00000230074	93
ENSG00000279489	16
ENSG00000234181	28
ENSG00000165282	46
ENSG00000165283	102
ENSG00000198853	97
ENSG00000137076	76
ENSG00000070610	6
ENSG00000215183	77
ENSG00000228843	87
ENSG00000122705	53
ENSG00000107338	32
ENSG00000285130	38
ENSG00000119138	57
ENSG00000165092	30
ENSG00000156017	20
ENSG00000156052	64
ENSG00000135069	73
ENSG00000165118	67
ENSG00000135070	5
ENSG00000083223	4
ENSG00000237747	6
ENSG00000123975	84
ENSG00000187742	77
ENSG00000237422	16
ENSG00000165030	26
ENSG00000090054	77
ENSG00000281156	93
ENSG00000239183	88
ENSG00000197724	73
ENSG00000158079	2
ENSG00000175611	54
ENSG00000130958	11
ENSG00000136937	39
ENSG00000136932	96
ENSG00000136929	23
ENSG00000236896	89
ENSG00000095383	119
ENSG00000106803	19
ENSG00000023318	108
ENSG00000119509	4
ENSG00000136891	77
ENSG00000270982	81
ENSG00000136824	52
ENSG00000136783	16
ENSG00000119326	39
ENSG00000136810	44
ENSG00000136813	78
ENSG00000059769	88
ENSG00000119471	56
ENSG00000165185	15
ENSG00000136868	44
ENSG00000148225	17
ENSG00000157657	58
ENSG00000157693	53
ENSG00000182752	81
ENSG00000136861	93
ENSG00000226752	15
ENSG00000119396	9
ENSG00000239593	67
ENSG00000233616	14
ENSG00000186130	48
ENSG00000171448	102
ENSG00000224020	81
ENSG00000236643	17
ENSG00000136950	79
ENSG00000169155	53
ENSG00000177125	87
ENSG00000201302	89
ENSG00000197958	72
ENSG00000283863	94
ENSG00000167103	10
ENSG00000148339	64
ENSG00000230536	59
ENSG00000171159	113
ENSG00000106976	73
ENSG00000175854	82
ENSG00000167118	20
ENSG00000119392	12
ENSG00000119333	107
ENSG00000107021	45
ENSG00000136802	65
ENSG00000233909	110
ENSG00000136827	79
ENSG00000107164	89
ENSG00000126882	107
ENSG00000240853	12
ENSG00000125492	42
ENSG00000165702	16
ENSG00000148308	64
ENSG00000148300	90
ENSG00000226706	12
ENSG00000165661	31
ENSG00000165688	51
ENSG00000172889	67
ENSG00000274998	29
ENSG00000281808	12
ENSG00000228544	82
ENSG00000176919	50
ENSG00000233198	29
ENSG00000198113	67
ENSG00000148399	69
ENSG00000203993	14
ENSG00000237531	20
ENSG00000277120	49
ENSG00000006757	54
ENSG00000101849	44
ENSG00000207202	64
ENSG00000176896	93
ENSG00000169249	7
ENSG00000182287	1
ENSG00000200566	6
ENSG00000169895	80
ENSG00000202272	85
ENSG00000130741	51
ENSG00000165175	91
ENSG00000215301	72
ENSG00000270069	5
ENSG00000147123	7
ENSG00000102265	113
ENSG00000008056	39
ENSG00000147118	86
ENSG00000017483	11
ENSG00000224292	17
ENSG00000102317	29
ENSG00000101945	10
ENSG00000232828	44
ENSG00000279155	76
ENSG00000068308	76
ENSG00000102057	18
ENSG00000196998	76
ENSG00000102003	29
ENSG00000130119	92
ENSG00000247746	72
ENSG00000188021	8
ENSG00000233661	36
ENSG00000147065	88
ENSG00000204165	88
ENSG00000147140	11
ENSG00000186871	79
ENSG00000229807	97
ENSG00000274430	3
ENSG00000225470	27
ENSG00000131263	77
ENSG00000126945	69
ENSG00000184867	86
ENSG00000271147	118
ENSG00000223546	95
ENSG00000102409	43
ENSG00000123575	93
ENSG00000101888	55
ENSG00000068366	90
ENSG00000101935	1
ENSG00000241743	98
ENSG00000131725	19
ENSG00000147251	91
ENSG00000131724	71
ENSG00000018610	8
ENSG00000125354	61
ENSG00000198918	44
ENSG00000125351	97
ENSG00000101882	80
ENSG00000233382	56
ENSG00000177485	46
ENSG00000158290	39
ENSG00000232119	100
ENSG00000226902	6
ENSG00000101966	64
ENSG00000156697	98
ENSG00000235189	72
ENSG00000102034	95
ENSG00000156709	88
ENSG00000134602	44
ENSG00000123728	79
ENSG00000156531	5
ENSG00000227060	63
ENSG00000236509	49
ENSG00000156500	82
ENSG00000236091	53
ENSG00000169446	100
ENSG00000232611	85
ENSG00000222796	40
ENSG00000272438	1
ENSG00000230699	55
ENSG00000241180	109
ENSG00000223764	65
ENSG00000187961	85
ENSG00000187583	105
ENSG00000187642	92
ENSG00000272512	47
ENSG00000188290	96
ENSG00000187608	63
ENSG00000188157	18
ENSG00000242590	61
ENSG00000237330	58
ENSG00000207730	62
ENSG00000207607	101
ENSG00000272141	67
ENSG00000205231	77
ENSG00000186891	72
ENSG00000186827	74
ENSG00000078808	52
ENSG00000176022	43
ENSG00000184163	71
ENSG00000131584	9
ENSG00000283712	74
ENSG00000240731	84
ENSG00000127054	2
ENSG00000224051	71
ENSG00000107404	56
ENSG00000175756	72
ENSG00000225905	17
ENSG00000205116	78
ENSG00000225285	95
ENSG00000179403	106
ENSG00000160072	94
ENSG00000205090	65
ENSG00000228594	28
ENSG00000227775	70
ENSG00000008130	92
ENSG00000231050	76
ENSG00000178821	96
ENSG00000182873	51
ENSG00000234396	27
ENSG00000157933	98
ENSG00000157911	41
ENSG00000149527	75
ENSG00000224387	82
ENSG00000272449	54
ENSG00000238164	53
ENSG00000142606	104
ENSG00000130762	89
ENSG00000162591	74
ENSG00000238260	58
ENSG00000078900	59
ENSG00000227589	70
ENSG00000227372	86
ENSG00000235169	77
ENSG00000266075	101
ENSG00000130764	4
ENSG00000272153	101
ENSG00000116198	49
ENSG00000198912	14
ENSG00000131697	22
ENSG00000069424	75
ENSG00000158292	13
ENSG00000097021	120
ENSG00000231868	56
ENSG00000215788	102
ENSG00000171680	13
ENSG00000162408	8
ENSG00000204859	13
ENSG00000007923	2
ENSG00000237436	12
ENSG00000049246	72
ENSG00000116288	93
ENSG00000116285	54
ENSG00000232912	22
ENSG00000274258	73
ENSG00000180758	52
ENSG00000188807	80
ENSG00000171608	18
ENSG00000171603	27
ENSG00000130939	18
ENSG00000142657	123
ENSG00000175279	111
ENSG00000251503	77
ENSG00000241563	72
ENSG00000272078	66
ENSG00000009724	14
ENSG00000116649	5
ENSG00000171824	73
ENSG00000120942	85
ENSG00000116661	45
ENSG00000116663	72
ENSG00000116670	73
ENSG00000083444	41
ENSG00000116691	48
ENSG00000028137	102
ENSG00000162494	76
ENSG00000142634	88
ENSG00000116786	2
ENSG00000162461	105
ENSG00000237938	4
ENSG00000116809	47
ENSG00000173641	32
ENSG00000185519	100
ENSG00000055070	11
ENSG00000219481	78
ENSG00000186301	25
ENSG00000227751	81
ENSG00000169991	72
ENSG00000053371	83
ENSG00000270136	47
ENSG00000183114	59
ENSG00000070831	69
ENSG00000285873	4
ENSG00000125944	68
ENSG00000204219	31
ENSG00000007968	42
ENSG00000188529	43
ENSG00000183726	89
ENSG00000157978	40
ENSG00000255054	84
ENSG00000117640	66
ENSG00000228172	78
ENSG00000142684	70
ENSG00000142675	2
ENSG00000090273	98
ENSG00000175707	4
ENSG00000142784	56
ENSG00000174950	5
ENSG00000009780	46
ENSG00000117758	63
ENSG00000227050	11
ENSG00000180098	66
ENSG00000253304	3
ENSG00000116353	44
ENSG00000060656	28
ENSG00000186056	135
ENSG00000162510	50
ENSG00000168528	52
ENSG00000121764	69
ENSG00000084652	52
ENSG00000160051	95
ENSG00000222046	92
ENSG00000162521	85
ENSG00000160097	98
ENSG00000116514	56
ENSG00000278966	80
ENSG00000004455	59
ENSG00000116525	85
ENSG00000188910	42
ENSG00000284773	95
ENSG00000243749	99
ENSG00000142687	99
ENSG00000020129	82
ENSG00000116819	47
ENSG00000116863	79
ENSG00000214193	80
ENSG00000163874	95
ENSG00000163875	9
ENSG00000197982	87
ENSG00000196449	82
ENSG00000188786	68
ENSG00000204084	86
ENSG00000212541	92
ENSG00000224592	16
ENSG00000116954	85
ENSG00000214114	11
ENSG00000183682	6
ENSG00000116981	67
ENSG00000116983	92
ENSG00000261798	75
ENSG00000043514	75
ENSG00000116990	13
ENSG00000168389	9
ENSG00000131236	55
ENSG00000272145	97
ENSG00000117013	95
ENSG00000171790	142
ENSG00000204060	33
ENSG00000127124	69
ENSG00000234917	52
ENSG00000285728	59
ENSG00000233708	46
ENSG00000117394	100
ENSG00000117399	78
ENSG00000283836	77
ENSG00000066322	61
ENSG00000178922	31
ENSG00000229348	82
ENSG00000117407	108
ENSG00000117411	8
ENSG00000159214	96
ENSG00000196517	75
ENSG00000126106	68
ENSG00000225721	122
ENSG00000264294	35
ENSG00000234093	87
ENSG00000173846	82
ENSG00000222009	29
ENSG00000117425	89
ENSG00000162415	98
ENSG00000186603	86
ENSG00000070759	18
ENSG00000159592	66
ENSG00000230896	20
ENSG00000282881	115
ENSG00000079277	56
ENSG00000142961	48
ENSG00000159658	73
ENSG00000226252	102
ENSG00000186564	120
ENSG00000269113	47
ENSG00000284700	95
ENSG00000085831	87
ENSG00000285839	44
ENSG00000223390	43
ENSG00000134717	29
ENSG00000224680	20
ENSG00000203995	79
ENSG00000174348	91
ENSG00000157184	64
ENSG00000162384	47
ENSG00000174332	32
ENSG00000058799	107
ENSG00000116221	8
ENSG00000243725	76
ENSG00000116133	79
ENSG00000162402	17
ENSG00000132854	11
ENSG00000224209	7
ENSG00000187140	15
ENSG00000230798	49
ENSG00000079739	40
ENSG00000116675	11
ENSG00000213625	5
ENSG00000198160	19
ENSG00000172380	90
ENSG00000033122	74
ENSG00000050628	57
ENSG00000117054	11
ENSG00000137960	9
ENSG00000203943	26
ENSG00000162642	13
ENSG00000142867	63
ENSG00000097033	18
ENSG00000065243	65
ENSG00000213516	5
ENSG00000271949	79
ENSG00000233593	93
ENSG00000122482	10
ENSG00000162669	42
ENSG00000069702	54
ENSG00000174842	70
ENSG00000162676	25
ENSG00000137942	20
ENSG00000211575	29
ENSG00000226835	59
ENSG00000117528	91
ENSG00000152078	65
ENSG00000122481	84
ENSG00000283761	20
ENSG00000137996	81
ENSG00000260879	70
ENSG00000121957	105
ENSG00000143126	89
ENSG00000221986	67
ENSG00000134243	63
ENSG00000143028	56
ENSG00000168765	41
ENSG00000168710	20
ENSG00000260948	102
ENSG00000197852	109
ENSG00000143079	118
ENSG00000155366	104
ENSG00000184599	120
ENSG00000226419	15
ENSG00000177173	64
ENSG00000116815	93
ENSG00000134247	68
ENSG00000134253	8
ENSG00000198162	134
ENSG00000183508	13
ENSG00000186364	5
ENSG00000131788	65
ENSG00000131779	16
ENSG00000180867	6
ENSG00000131778	8
ENSG00000131781	42
ENSG00000023902	68
ENSG00000228126	64
ENSG00000237781	16
ENSG00000143382	6
ENSG00000277452	55
ENSG00000143443	82
ENSG00000197622	16
ENSG00000261168	21
ENSG00000143367	93
ENSG00000232536	75
ENSG00000182134	59
ENSG00000160679	34
ENSG00000143570	87
ENSG00000231416	102
ENSG00000160712	74
ENSG00000163348	78
ENSG00000163352	35
ENSG00000243364	79
ENSG00000169241	4
ENSG00000173171	32
ENSG00000160753	78
ENSG00000277817	82
ENSG00000260238	102
ENSG00000160783	43
ENSG00000242252	17
ENSG00000160781	40
ENSG00000207933	23
ENSG00000163382	70
ENSG00000132702	103
ENSG00000272405	105
ENSG00000132688	112
ENSG00000143320	96
ENSG00000198400	84
ENSG00000160838	81
ENSG00000158716	89
ENSG00000162729	8
ENSG00000215845	6
ENSG00000270149	73
ENSG00000158793	21
ENSG00000143258	79
ENSG00000143224	41
ENSG00000283317	34
ENSG00000173110	86
ENSG00000081721	42
ENSG00000198929	69
ENSG00000152332	43
ENSG00000259788	12
ENSG00000143179	5
ENSG00000230898	64
ENSG00000143162	35
ENSG00000143164	85
ENSG00000143158	39
ENSG00000143153	91
ENSG00000000457	99
ENSG00000135845	85
ENSG00000152061	39
ENSG00000213057	44
ENSG00000116260	102
ENSG00000232586	59
ENSG00000225359	5
ENSG00000261504	56
ENSG00000135838	9
ENSG00000135862	97
ENSG00000116698	57
ENSG00000232860	8
ENSG00000198860	13
ENSG00000271387	7
ENSG00000116679	4
ENSG00000116741	80
ENSG00000162702	29
ENSG00000118193	54
ENSG00000260088	4
ENSG00000118200	48
ENSG00000198700	80
ENSG00000198892	67
ENSG00000176393	70
ENSG00000228288	1
ENSG00000234996	8
ENSG00000183155	90
ENSG00000159346	49
ENSG00000133063	50
ENSG00000200408	6
ENSG00000163545	9
ENSG00000174514	83
ENSG00000158711	35
ENSG00000158715	80
ENSG00000143479	36
ENSG00000237605	7
ENSG00000203710	11
ENSG00000170385	4
ENSG00000123685	2
ENSG00000162769	61
ENSG00000143499	76
ENSG00000152104	41
ENSG00000232480	42
ENSG00000196660	91
ENSG00000067704	70
ENSG00000257551	6
ENSG00000187554	4
ENSG00000178395	20
ENSG00000143514	81
ENSG00000143753	42
ENSG00000242861	48
ENSG00000243709	38
ENSG00000143811	21
ENSG00000255835	77
ENSG00000185155	98
ENSG00000143772	6
ENSG00000143801	126
ENSG00000081692	69
ENSG00000276255	51
ENSG00000143761	44
ENSG00000143793	70
ENSG00000143774	78
ENSG00000198835	37
ENSG00000269934	78
ENSG00000284311	44
ENSG00000162931	93
ENSG00000168148	45
ENSG00000202056	29
ENSG00000177788	90
ENSG00000154429	82
ENSG00000143632	46
ENSG00000069248	100
ENSG00000229367	69
ENSG00000135763	6
ENSG00000143641	40
ENSG00000135775	14
ENSG00000119280	53
ENSG00000116903	83
ENSG00000135766	3
ENSG00000212916	102
ENSG00000143674	90
ENSG00000059588	78
ENSG00000168264	8
ENSG00000273416	118
ENSG00000086619	46
ENSG00000226828	79
ENSG00000225401	68
ENSG00000273175	101
ENSG00000162852	15
ENSG00000143653	13
ENSG00000223519	80
ENSG00000197472	82
ENSG00000221953	105
ENSG00000162722	69
ENSG00000226191	48
ENSG00000171161	38
ENSG00000015171	79
ENSG00000107929	83
ENSG00000205740	50
ENSG00000107937	92
ENSG00000067064	49
ENSG00000047056	69
ENSG00000273001	69
ENSG00000067057	85
ENSG00000107959	83
ENSG00000108021	25
ENSG00000057608	45
ENSG00000134470	78
ENSG00000170525	58
ENSG00000213994	77
ENSG00000198879	9
ENSG00000165632	20
ENSG00000134463	92
ENSG00000148426	69
ENSG00000181192	101
ENSG00000065665	63
ENSG00000183049	11
ENSG00000107537	41
ENSG00000185267	2
ENSG00000272853	60
ENSG00000152455	71
ENSG00000176236	52
ENSG00000152464	61
ENSG00000152465	89
ENSG00000231920	4
ENSG00000222071	65
ENSG00000150867	44
ENSG00000234296	46
ENSG00000148459	8
ENSG00000230445	9
ENSG00000254635	30
ENSG00000197321	58
ENSG00000107968	49
ENSG00000183621	98
ENSG00000170759	70
ENSG00000229327	45
ENSG00000177283	65
ENSG00000236514	70
ENSG00000259869	42
ENSG00000273008	9
ENSG00000221468	2
ENSG00000012779	95
ENSG00000172661	57
ENSG00000266412	78
ENSG00000265763	24
ENSG00000236800	80
ENSG00000165606	70
ENSG00000225830	74
ENSG00000198964	70
ENSG00000108091	9
ENSG00000183346	99
ENSG00000272767	81
ENSG00000204130	12
ENSG00000122958	54
ENSG00000099282	43
ENSG00000042286	68
ENSG00000156521	59
ENSG00000172731	54
ENSG00000156574	85
ENSG00000166224	80
ENSG00000166228	79
ENSG00000168209	31
ENSG00000221817	44
ENSG00000235316	76
ENSG00000279689	74
ENSG00000272916	85
ENSG00000122861	89
ENSG00000156110	98
ENSG00000165644	94
ENSG00000272692	87
ENSG00000108179	56
ENSG00000133678	86
ENSG00000230091	77
ENSG00000189129	71
ENSG00000226659	10
ENSG00000148671	85
ENSG00000148672	89
ENSG00000122376	45
ENSG00000138135	123
ENSG00000152778	117
ENSG00000165338	36
ENSG00000174721	41
ENSG00000119912	62
ENSG00000152804	80
ENSG00000095596	90
ENSG00000173145	24
ENSG00000108239	60
ENSG00000225533	14
ENSG00000059573	5
ENSG00000107443	71
ENSG00000095587	89
ENSG00000196233	73
ENSG00000165879	97
ENSG00000171314	96
ENSG00000165886	70
ENSG00000119986	75
ENSG00000155254	61
ENSG00000155256	69
ENSG00000120057	90
ENSG00000138131	5
ENSG00000260475	8
ENSG00000198018	72
ENSG00000107566	15
ENSG00000231188	75
ENSG00000272572	74
ENSG00000055950	87
ENSG00000107815	76
ENSG00000107816	62
ENSG00000186862	77
ENSG00000107819	75
ENSG00000273162	9
ENSG00000107829	22
ENSG00000107831	50
ENSG00000107859	79
ENSG00000107874	65
ENSG00000272933	20
ENSG00000171206	78
ENSG00000138175	71
ENSG00000148842	68
ENSG00000138172	5
ENSG00000138166	102
ENSG00000108055	64
ENSG00000119927	95
ENSG00000151893	59
ENSG00000188613	24
ENSG00000183605	79
ENSG00000198873	93
ENSG00000148908	80
ENSG00000151929	77
ENSG00000198825	69
ENSG00000197771	34
ENSG00000226864	79
ENSG00000107672	68
ENSG00000255624	14
ENSG00000196177	68
ENSG00000065154	72
ENSG00000189319	80
ENSG00000234134	54
ENSG00000148773	71
ENSG00000237489	60
ENSG00000108010	60
ENSG00000171813	65
ENSG00000068383	69
ENSG00000148826	76
ENSG00000166917	115
ENSG00000273980	17
ENSG00000151651	12
ENSG00000165828	1
ENSG00000127884	89
ENSG00000148824	41
ENSG00000177947	78
ENSG00000177951	56
ENSG00000142102	56
ENSG00000255533	56
ENSG00000254910	78
ENSG00000251661	88
ENSG00000182272	88
ENSG00000184363	56
ENSG00000243562	86
ENSG00000185101	78
ENSG00000023191	86
ENSG00000254739	81
ENSG00000161328	69
ENSG00000254815	57
ENSG00000185522	96
ENSG00000199038	98
ENSG00000247095	48
ENSG00000070047	77
ENSG00000099834	59
ENSG00000070031	30
ENSG00000069696	104
ENSG00000269915	76
ENSG00000177225	23
ENSG00000255284	101
ENSG00000279672	68
ENSG00000255142	96
ENSG00000184524	9
ENSG00000177542	95
ENSG00000177697	31
ENSG00000177830	32
ENSG00000184956	68
ENSG00000285581	12
ENSG00000184545	66
ENSG00000244242	100
ENSG00000229512	52
ENSG00000117984	105
ENSG00000250644	82
ENSG00000283787	4
ENSG00000183734	121
ENSG00000064201	105
ENSG00000207308	119
ENSG00000238184	122
ENSG00000110651	34
ENSG00000275666	90
ENSG00000269821	83
ENSG00000129757	9
ENSG00000110628	12
ENSG00000205531	82
ENSG00000236710	61
ENSG00000021762	24
ENSG00000236301	83
ENSG00000167311	60
ENSG00000148985	71
ENSG00000228661	99
ENSG00000229988	80
ENSG00000110171	85
ENSG00000166333	16
ENSG00000166337	97
ENSG00000158077	79
ENSG00000166436	44
ENSG00000254665	57
ENSG00000166452	97
ENSG00000175348	84
ENSG00000175352	103
ENSG00000253973	97
ENSG00000166471	85
ENSG00000148926	65
ENSG00000110315	125
ENSG00000177112	57
ENSG00000072952	10
ENSG00000110328	9
ENSG00000148925	51
ENSG00000197601	50
ENSG00000152270	81
ENSG00000285545	58
ENSG00000188211	76
ENSG00000166788	72
ENSG00000134333	102
ENSG00000254966	83
ENSG00000177054	6
ENSG00000185238	66
ENSG00000109881	99
ENSG00000278822	90
ENSG00000276530	73
ENSG00000121690	55
ENSG00000176148	10
ENSG00000205177	5
ENSG00000135387	83
ENSG00000166016	10
ENSG00000121691	18
ENSG00000149089	26
ENSG00000052841	60
ENSG00000254907	43
ENSG00000187479	71
ENSG00000151348	98
ENSG00000181830	58
ENSG00000121671	36
ENSG00000255498	99
ENSG00000234776	79
ENSG00000165905	77
ENSG00000149091	58
ENSG00000264102	73
ENSG00000180720	95
ENSG00000254518	22
ENSG00000149115	70
ENSG00000255301	2
ENSG00000149150	65
ENSG00000110042	27
ENSG00000110048	52
ENSG00000167987	97
ENSG00000167986	77
ENSG00000149476	59
ENSG00000187049	87
ENSG00000149532	79
ENSG00000167985	74
ENSG00000256591	94
ENSG00000204950	55
ENSG00000011347	114
ENSG00000134780	47
ENSG00000284416	77
ENSG00000221968	67
ENSG00000279491	110
ENSG00000255118	114
ENSG00000257058	120
ENSG00000089597	108
ENSG00000255432	13
ENSG00000278615	6
ENSG00000214756	77
ENSG00000162191	76
ENSG00000177363	25
ENSG00000168000	30
ENSG00000214753	116
ENSG00000267811	27
ENSG00000269176	107
ENSG00000168569	67
ENSG00000162231	94
ENSG00000283268	90
ENSG00000176485	91
ENSG00000188070	80
ENSG00000168005	81
ENSG00000256824	66
ENSG00000168439	97
ENSG00000256116	88
ENSG00000173511	64
ENSG00000173264	77
ENSG00000257069	63
ENSG00000182450	77
ENSG00000278359	109
ENSG00000181908	47
ENSG00000068831	78
ENSG00000284155	77
ENSG00000168062	105
ENSG00000273003	1
ENSG00000146670	82
ENSG00000197847	8
ENSG00000149798	117
ENSG00000126391	77
ENSG00000245532	8
ENSG00000278144	59
ENSG00000283791	78
ENSG00000275948	56
ENSG00000260233	67
ENSG00000173442	98
ENSG00000173338	8
ENSG00000197136	67
ENSG00000266041	59
ENSG00000285533	5
ENSG00000254470	3
ENSG00000172543	15
ENSG00000175573	72
ENSG00000175315	88
ENSG00000254762	62
ENSG00000245156	117
ENSG00000174871	52
ENSG00000174851	116
ENSG00000254458	91
ENSG00000174791	87
ENSG00000174684	44
ENSG00000174669	57
ENSG00000174516	132
ENSG00000255517	116
ENSG00000174165	118
ENSG00000182791	74
ENSG00000239306	82
ENSG00000248643	44
ENSG00000173933	55
ENSG00000173653	15
ENSG00000172932	91
ENSG00000172830	81
ENSG00000175482	74
ENSG00000256514	98
ENSG00000172613	88
ENSG00000172531	88
ENSG00000175463	55
ENSG00000255949	72
ENSG00000172725	93
ENSG00000276769	77
ENSG00000167797	89
ENSG00000167800	106
ENSG00000255031	81
ENSG00000110066	88
ENSG00000171067	141
ENSG00000162337	54
ENSG00000069482	31
ENSG00000132749	2
ENSG00000110090	1
ENSG00000197345	89
ENSG00000132740	13
ENSG00000255741	61
ENSG00000162341	68
ENSG00000110092	3
ENSG00000168040	27
ENSG00000131626	39
ENSG00000085733	71
ENSG00000172893	65
ENSG00000172890	52
ENSG00000255808	34
ENSG00000137478	76
ENSG00000257038	87
ENSG00000256034	45
ENSG00000255847	44
ENSG00000165434	16
ENSG00000254837	121
ENSG00000279117	82
ENSG00000149257	55
ENSG00000247867	96
ENSG00000137492	94
ENSG00000182704	84
ENSG00000261578	52
ENSG00000268635	69
ENSG00000178301	106
ENSG00000280385	93
ENSG00000042429	87
ENSG00000110218	64
ENSG00000123901	84
ENSG00000196371	48
ENSG00000134627	109
ENSG00000166025	83
ENSG00000149218	116
ENSG00000149231	15
ENSG00000137691	35
ENSG00000277459	66
ENSG00000110660	61
ENSG00000075239	81
ENSG00000255467	99
ENSG00000137710	47
ENSG00000137714	14
ENSG00000239354	58
ENSG00000170145	103
ENSG00000137713	17
ENSG00000137656	85
ENSG00000160584	13
ENSG00000254678	30
ENSG00000168092	96
ENSG00000149577	90
ENSG00000149591	52
ENSG00000110324	56
ENSG00000149582	73
ENSG00000019144	73
ENSG00000255239	53
ENSG00000264211	55
ENSG00000110395	50
ENSG00000076706	7
ENSG00000036672	59
ENSG00000110400	77
ENSG00000254854	80
ENSG00000176984	5
ENSG00000184232	71
ENSG00000019102	99
ENSG00000110074	91
ENSG00000150455	66
ENSG00000110063	105
ENSG00000120451	36
ENSG00000279711	50
ENSG00000166086	66
ENSG00000254481	83
ENSG00000177406	91
ENSG00000151065	80
ENSG00000256030	16
ENSG00000053702	109
ENSG00000078246	84
ENSG00000250899	3
ENSG00000130038	121
ENSG00000111321	105
ENSG00000139190	38
ENSG00000111640	89
ENSG00000111641	62
ENSG00000139200	101
ENSG00000089692	53
ENSG00000250510	54
ENSG00000111669	17
ENSG00000111674	86
ENSG00000111679	103
ENSG00000215021	69
ENSG00000111684	53
ENSG00000256967	50
ENSG00000139182	63
ENSG00000164845	99
ENSG00000214851	42
ENSG00000256712	68
ENSG00000111261	98
ENSG00000255621	96
ENSG00000111726	52
ENSG00000278969	63
ENSG00000278743	59
ENSG00000211455	122
ENSG00000061794	58
ENSG00000123106	42
ENSG00000285517	123
ENSG00000139131	90
ENSG00000151233	107
ENSG00000015153	97
ENSG00000177119	11
ENSG00000005175	81
ENSG00000211584	69
ENSG00000268069	73
ENSG00000278385	65
ENSG00000279840	79
ENSG00000134291	8
ENSG00000177875	65
ENSG00000272822	85
ENSG00000134287	110
ENSG00000181418	60
ENSG00000181929	7
ENSG00000167550	58
ENSG00000139549	87
ENSG00000135406	63
ENSG00000178401	18
ENSG00000123352	127
ENSG00000186666	8
ENSG00000139624	88
ENSG00000110911	109
ENSG00000184271	63
ENSG00000170545	17
ENSG00000284730	67
ENSG00000284791	2
ENSG00000167778	99
ENSG00000139637	8
ENSG00000123388	15
ENSG00000180806	60
ENSG00000258344	41
ENSG00000139645	9
ENSG00000257303	79
ENSG00000062485	27
ENSG00000110955	50
ENSG00000285133	23
ENSG00000166987	9
ENSG00000166908	70
